State|Location|Address|City|Link
Alabama|Urgent Team|1115 Beltline Rd SE Suite 400|Decatur|https://www.urgentteam.com/coronavirus-covid-19/
Alabama|Walmart|1701 US-43|Demopolis|https://corporate.walmart.com/covid19testing
Alabama|Whitfield Regional Hospital parking lot|105 U.S. Highway 80 East|Demopolis|https://sewell.house.gov/coronavirus
Alabama|Capstone Clinic|110 Legion Rd Ste B|Double Springs|http://www.capstoneclinic.org/announcements/capstone-giving-tests-looking-for-supplies-with-covid|A=SearchResult&SearchID=5848052&ObjectID=104469&ObjectType=7
Alabama|Enterprise Civic Center|2401 Neil Metcalf Road|Enterprise|https://www.wtvy.com/wrgx/content/news/COVID-19-drive-thru-testing-site-in-Enterprise-569451651.html
Alabama|Main Street Family Care|1026 South Eufaula Ave.|Eufaula|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Evergreen Family Medical Center|316 S. Main Street|Evergreen|https://franklinprimary.org/covid-19/
Alabama|Semmes Health Center|3810 Wulff Road East|Fire Tower|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|Urgent Team|202 Cox Creek Pkwy|Florence|https://www.urgentteam.com/coronavirus-covid-19/
Alabama|Trust Care|1710 Old Fannin Road|Flowood|https://www.trustcarehealth.com/covid19|utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama|Northeast Alabama Health Services|3840 Gault Avenue North|Fort Payne|https://neahsi.com/
Alabama|DeKalb Regional Medical Center|421 Medical Center Drive SW|Fort Payne|https://alabamamedicine.org/coronavirus/physician-resources/coronavirus-testing-locations/
Alabama|Norwood Clinic|"339 Walker Chapel Plaza, Suite 115"|Fultondale|http://www.norwoodclinic.com/
Alabama|Norwood Clinic|339 Walker's Chapel Plaza|Fultondale|http://www.norwoodclinic.com/
Alabama|Norwood Clinic|1604 Stouts Road|Fultondale|http://www.norwoodclinic.com/
Alabama|Norwood Clinic|"313 Fieldstown Road, Suite 103"|Gardendale|http://www.norwoodclinic.com/
Alabama|Norwood Clinic|"527 Fieldstown Road, Suite C"|Gardendale|http://www.norwoodclinic.com/
Alabama|Gilbertown Medical and Dental Center|140 Front Street Suite 4|Gilbertown|https://franklinprimary.org/covid-19/
Alabama|Hale County Hospital|508 Greene Street|Greensboro|https://halecountyhospital.com/covid19
Alabama|Norwood Clinic|6150 US Highway 43|Guin|http://www.norwoodclinic.com/
Alabama|Stopwatch Urgent Care|351 US 31|Hartselle|https://www.stopwatchurgentcare.com/
Alabama|Trust Care|6176 US Highway 98|Hattiesburg|https://www.trustcarehealth.com/covid19|utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama|Southern Immediate Care|150 Tompkins St|Heflin|https://www.southernimmediatecare.com/telemed/
Alabama|Brookwood Baptist|7131 Cahaba Valley Rd.|Hoover|https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama|Ross Bridge Medical Center|3635 Market Street|Hoover|www.covidalabama.com
Alabama|Stopwatch Urgent Care|3029 Allison Bonnett Memorial Drive|Hueytown|https://www.stopwatchurgentcare.com/
Alabama|John Hunt Park|2151 Airport Rd SW|Huntsville|https://www.huntsvillehospital.org/fever-flu-clinic
Alabama|Urgent Team|900 Bob Wallace Ave Suite 104|Huntsville|https://www.urgentteam.com/coronavirus-covid-19/
Alabama|Mostellar Medical Center|12701 Padget Switch Rd|Irvington|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|Trust Care|4880 I-55 Frontage Road North|Jackson|https://www.trustcarehealth.com/covid19|utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama|Walker County Health Department|705 20th Avenue East|Jasper|https://www.alabamapublichealth.gov/news/2020/04/24c.html
Alabama|Brookwood Baptist|3400 Hwy 78 E|Jasper|https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama|Stopwatch Urgent Care|3838 Highway 80 West|Ladonia|https://www.stopwatchurgentcare.com/
Alabama|Urgent Team|300 Hughes Rd Suite G-2|Madison|https://www.urgentteam.com/coronavirus-covid-19/
Alabama|Madison Core Laboratories|"120 W. Dublin Dr, Ste. 105"|Madison|https://www.madisoncorelabs.com/services/molecular/covid19
Alabama|Respiratory Virus Evaluation Clinic|1303 Washington Street|Marion|
Alabama|Urgent Medcare|12287 US-231/431|Meridianville|https://urgentmedcareonline.com/drive-thru-covid-19-testing/
Alabama|Main Street Family Care|1401 AL Hwy 14|Millbrook|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Main Street Family Care|6280 Grelot Road|Mobile|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Keeler Memorial Building|251 N Bayou St|Mobile|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|USA Health|401 Civic Center Dr|Mobile|https://www.usahealthsystem.com/covid-19
Alabama|Dauphin island Parkway Health Center|2601 Dauphin Island Pkway|Mobile|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|Eight Mile Health center|4009 St. Stephens Rd|Mobile|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|Compass Urgent Care|6901 Airport Blvd|Mobile|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|Southwest Mobile Health Center|5580 Inn Road|Mobile|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|Women's Health Center / Newburn Complex|248 Cox St|Mobile|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|Ladd-Peebles Stadium|1621 Virginia St|Mobile|https://www.usahealthsystem.com/news/usa-health-2600-patients-tested
Alabama|Infirmary Health|166 Mobile Infirmary Blvd|Mobile|https://www.infirmaryhealth.org/coronavirus-covid-19
Alabama|Franklin Medical Mall|1303 Martin Luther King Jr. Ave|Mobile|https://franklinprimary.org/covid-19/
Alabama|Greater Mobile Urgent Care|2350 Schillinger Road|Mobile|http://greatermobileurgentcare.com/coronavirus-testing.html
Alabama|Diagnostic and Medical Clinic|1700 Springhill Ave|Mobile|https://diagnosticandmedical.com/coronavirus/
Alabama|Diagnostic and Medical Clinic|831 C Hillcrest Road|Mobile|https://diagnosticandmedical.com/coronavirus/
Alabama|The Grounds in Mobile|1035 Cody Rd N|Mobile|
Alabama|Monroe County Health Department|416 Agricultural Drive|Monroeville|https://www.alabamapublichealth.gov/news/2020/04/23.html
Alabama|Main Street Family Care|1195 South Alabama Ave.|Monroeville|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Monroe County Hospital|2016 South Alabama Avenues|Monroeville|https://alabamamedicine.org/coronavirus/physician-resources/coronavirus-testing-locations/
Alabama|Baptist Health Montgomery|2936 Marti Ln|Montgomery|https://www.baptistfirst.org/services/coronavirus-care-clinic|utm_source=local-listing&utm_medium=organic&utm_campaign=website-link
Alabama|American Family Care|4305 Atlanta Hwy|Montgomery|https://www.afcurgentcare.com/atlanta-hwy/|L=true
Alabama|American Family Care|2570 Berryhill Rd|Montgomery|https://www.afcurgentcare.com/taylor-crossing/
Alabama|American Family Care|34 Taylor Road North|Montgomery|https://www.afcurgentcare.com/taylor-crossing/
Alabama|Walmart|6495 Atlanta Hwy|Montgomery|https://corporate.walmart.com/covid19testing
Alabama|Main Street Family Care|2211 Moody Parkway|Moody|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|North Mobile Health Center|950 Coy Smith Highway|Mt Vernon|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|Urgent Team|210 Avalon Ave|Muscle Shoals|https://www.urgentteam.com/coronavirus-covid-19/
Alabama|Mitt Lary Family Practice|4815 Rose Blvd|Northport|https://www.mittlaryfamilypractice.com/
Alabama|Main Street Family Care|2022 2nd Ave. East|Oneonta|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Stopwatch Urgent Care|151 N 20th Street|Opelika|https://www.stopwatchurgentcare.com/
Alabama|Capstone Clinic|"5947 Hwy 269, AL 35580"|Parrish|http://www.capstoneclinic.org/announcements/capstone-giving-tests-looking-for-supplies-with-covid|A=SearchResult&SearchID=5848052&ObjectID=104469&ObjectType=7
Alabama|Main Street Family Care|300 Big Mountain Road|Pelham|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Stopwatch Urgent Care|"5415 Summerville Rd, Suite B"|Phenix City|https://www.stopwatchurgentcare.com/
Alabama|Baptist Health Prattville|350 County Rd 4 W|Prattville|https://www.baptistfirst.org/services/coronavirus-care-clinic|utm_source=local-listing&utm_medium=organic&utm_campaign=website-link
Alabama|Franklin's Mobile Express / Prichard City Hall|216 E. Prichard Ave|Prichard|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|Franklin Medical and Dental Express|216 E Prichard Ave|Prichard|https://franklinprimary.org/covid-19/
Alabama|Trust Care|786 Lake Harbour Drive|Ridgeland|https://www.trustcarehealth.com/covid19|utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama|Trust Care|"1051 Highland Colony Parkway, Suite E"|Ridgeland|https://www.trustcarehealth.com/covid19|utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama|Walmart|1095 Industrial Pkwy|Saraland|https://corporate.walmart.com/covid19testing
Alabama|Northeast Alabama Health Services|70 Freedom Drive|Scottsboro|https://neahsi.com/
Alabama|Northeast Alabama Health Services|21680 Alabama Hwy 79|Scottsboro|https://neahsi.com/
Alabama|Main Street Family Care|1475 AL Hwy 14 East|Selma|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Walmart|108 W Dallas Ave|Selma|https://corporate.walmart.com/covid19testing
Alabama|Stopwatch Urgent Care|110 Legacy Park Way|Springville|https://www.stopwatchurgentcare.com/
Alabama|Main Street Family Care|40900 US Hwy 280|Sylacauga|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Brookwood Baptist|604 Stone Ave|Talladega|https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama|Main Street Family Care|837 E. Battle Street|Talladega|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Walmart|300 Medical Park Drive|Thomasville|https://corporate.walmart.com/covid19testing
Alabama|Troy University Soccer Complex|326 Veterans Memorial Drive|Troy|https://www.alabamapublichealth.gov/news/2020/04/24e.html
Alabama|Stopwatch Urgent Care|1212 Highway 231 S|Troy|https://www.stopwatchurgentcare.com/
Alabama|Emergicare|1601 University Blvd E|Tuscaloosa|https://emergicareclinic.com/
Alabama|Crimson Care|1251 McFarland Blvd NE|Tuscaloosa|https://www.crimsoncare.com/
Alabama|First Care|1251 McFarland Blvd NE|Tuscaloosa|https://www.firstcaremd.com/covid-testing
Alabama|Crimson Care|1771 Skyland Blvd E|Tuscaloosa|https://www.crimsoncare.com/
Alabama|DCH Health System|809 University Blvd E|Tuscaloosa|https://www.dchsystem.com/covid-19/
Alabama|Crimson Care|1718 Veterans Memorial Parkway|Tuscaloosa|https://www.crimsoncare.com/
Alabama|Tuscaloosa County Health Department|2350 Hargrove Road East|Tuscaloosa|https://www.alabamapublichealth.gov/news/2020/04/24d.html
Alabama|Whatley Health|2731 Martin Luther King Jr. Blvd.|Tuscaloosa|https://www.whatleyhealth.org/
Alabama|EAMC-Lanier|4800 48th Street|Valley|https://www.eamc.org/patient-and-guests/covid-19-information/
Alabama|Main Street Family Care|3306 20th Ave.|Valley|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|American Family Care|1680 Montgomery Hwy|Vestavia Hills|https://www.afcurgentcare.com/hoover/|utm_source=GMB&utm_medium=organic&utm_campaign=Hoover
Alabama|Christ Health|5705 First Ave. North|Woodlawn|https://www.birminghamal.gov/2020/03/30/covid-19-testing-sites-and-sick-clinics-available-in-birmingham/
Alabama|Stopwatch Urgent Care|2900 Pepperell Pkwy||Opelika|https://www.stopwatchurgentcare.com/
Alaska|Walgreens|4353 Lake Otis Parkway|Anchorage|
Alaska||4115 Lake Otis Pkwy|Anchorage|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alaska|Eagle River|16620 Brooks Loop|Eagle River|https://www.thelittleclinic.com/drivethru-testing
Alaska|Fairbanks' Foundation Health Partners|9th Avenue & Noble Street|Fairbanks|https://www.medexpress.com/location/ar/north-little-rock/nla/
Arizona|CVS Health COVID-19 Testing Site|325 West Apache Trail|Apache Junction|
Arizona|CVS Health COVID-19 Testing Site|5400 East Carefree Highway/PO Box 5482|Carefree|
Arizona|NextCare Urgent Care|1683 E Florence Blvd|Casa Grande|https://nextcare.com/coronavirus-covid-19/
Arizona|CVS Health COVID-19 Testing Site|1686 East Florence Boulevard|Casa Grande|
Arizona|FastMED Urgent Care|"3705 S Arizona Ave, Suite 1"|Chandler|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|NextCare Urgent Care|600 S Dobson Rd|Chandler|https://nextcare.com/coronavirus-covid-19/
Arizona|FastMED Urgent Care|"2875 W Ray Rd, Suite 8"|Chandler|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|Cigna Medical Center|1717 W. Chandler Blvd.|Chandler|https://www.cigna.com/cmgaz/
Arizona|CVS Health COVID-19 Testing Site|2995 East Chandler Heights Road|Chandler|
Arizona|CVS Health COVID-19 Testing Site|4990 South Arizona Avenue|Chandler|
Arizona|CVS Health COVID-19 Testing Site|180 North Dobson Road|Chandler|
Arizona|CVS Health COVID-19 Testing Site|3990 West Ray Road|Chandler|
Arizona|CVS Health COVID-19 Testing Site|5975 West Chandler Boulevard|Chandler|
Arizona|CVS Health COVID-19 Testing Site|990 East Pecos Road|Chandler|
Arizona|CVS Health COVID-19 Testing Site|990 East Warner Road|Chandler|
Arizona|Thumb Butte|87 S. State Route 89|Chino Valley|https://www.thumbbuttemedicalcenter.com/
Arizona|Northern Arizona Healthcare|269 S Candy Ln|Cottonwood|https://www.nahealth.com/covid-19-resources/testing-tiers-and-locations
Arizona|CVS Health COVID-19 Testing Site|1179 South State Route 260|Cottonwood|
Arizona|CVS Health COVID-19 Testing Site|286 East 7th Street|Douglas|
Arizona|Walgreens|15385 N Dysart Rd|El Mirage|https://www.walgreens.com/findcare/covid19/testing|ext=goodrx
Arizona|Northern Arizona Healthcare|2446 Fort Tuthill Loop|Flagstaff|https://www.nahealth.com/covid-19-resources/testing-tiers-and-locations
Arizona|Flagstaff Urgent Care|"2700 S. Woodlands Village Blvd, Suite 700"|Flagstaff|https://www.flagstaffurgentcare.com/
Arizona||446 Fort Tuthill Loop|Flagstaff|https://www.fox10phoenix.com/news/list-coronavirus-testing-locations-in-arizona
Arizona|FastMED Urgent Care|"495 N Pinal Pkwy, Suite 106"|Florence|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|CVS Health COVID-19 Testing Site|4744 South Highway 95|Fort Mohave|
Arizona|Carespot|"2487 South Gilbert Road, Suite 108"|Gilbert|https://www.carespot.com/covid19-visitor-info/
Arizona|NextCare Urgent Care|6343 South Higley Road|Gilbert|https://nextcare.com/coronavirus-covid-19/
Arizona|Cigna Medical Center|"3530 S. Val Vista Dr., #101"|Gilbert|https://www.cigna.com/cmgaz/
Arizona|CVS Health COVID-19 Testing Site|2371 East Guadalupe Street|Gilbert|
Arizona|CVS Health COVID-19 Testing Site|2428 South Val Vista Drive|Gilbert|
Arizona|CVS Health COVID-19 Testing Site|3170 South Higley Road|Gilbert|
Arizona|CVS Health COVID-19 Testing Site|765 South Lindsay Road|Gilbert|
Arizona|NextCare Urgent Care|18589 N 59th Ave|Glendale|https://nextcare.com/coronavirus-covid-19/
Arizona|Cigna Medical Center|5891 W. Eugie Ave.|Glendale|https://www.cigna.com/cmgaz/
Arizona|FastMED Urgent Care|"3730 W Happy Valley Rd, Suite 100"|Glendale|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|Redirect Health Centers Clinic|16390 N 59th Ave #200|Glendale|https://redirecthealth.com/
Arizona|NextCare Urgent Care|9494 W Northern Ave #101|Glendale|https://nextcare.com/coronavirus-covid-19/
Arizona|CVS Health COVID-19 Testing Site|5125 West Olive Avenue|Glendale|
Arizona|CVS Health COVID-19 Testing Site|7499 West Bethany Home Road|Glendale|
Arizona|FastMED Urgent Care|"1507 N Litchfield Rd, Suite 200"|Goodyear|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|Cigna Medical Center|"14445 W. McDowell Rd., #A-104"|Goodyear|https://www.cigna.com/cmgaz/
Arizona|CVS Health COVID-19 Testing Site|2840 North Dysart Road|Goodyear|
Arizona|CVS Health COVID-19 Testing Site|3501 Stockton Hill Road|Kingman|
Arizona|CVS Health COVID-19 Testing Site|75 North Lake Havasu Avenue|Lake Havasu City|
Arizona|Carespot|5130 W Baseline Road|Laveen|https://www.carespot.com/covid19-visitor-info/
Arizona|CVS Health COVID-19 Testing Site|5050 West Baseline Road|Laveen|
Arizona|Carespot|"13840 West Camelback Road, Suite 10"|Litchfield Park|https://www.carespot.com/covid19-visitor-info/
Arizona|CVS Health COVID-19 Testing Site|4890 North Litchfield Road|Litchfield Park|
Arizona|FastMED Urgent Care|"7850 N Silverbell Rd, Suite 132"|Marana|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|CVS Health COVID-19 Testing Site|44274 West-Smith Enke Rd.|Maricopa|
Arizona|FastMED Urgent Care|"1810 S Power Rd, Suite 101"|Mesa|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|Maready Medical|4135 S. Power Rd. #113|Mesa|https://www.mareadymedical.com/covid-19
Arizona|FastMED Urgent Care|"415 N Val Vista Dr, Suite 101"|Mesa|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|FastMED Urgent Care|835 W University Dr|Mesa|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|NextCare Urgent Care|1066 N Power Rd. #101|Mesa|https://nextcare.com/coronavirus-covid-19/
Arizona|Cigna Medical Center|"1840 S. Stapley Dr., #101"|Mesa|https://www.cigna.com/cmgaz/
Arizona|Cigna Medical Center|6811 E. Superstition Springs Blvd.|Mesa|https://www.cigna.com/cmgaz/
Arizona|Cigna Medical Center|"5735 E. McKellips Rd., #101"|Mesa|https://www.cigna.com/cmgaz/
Arizona|CVS Health COVID-19 Testing Site|2809 South Sossaman Road|Mesa|
Arizona|CVS Health COVID-19 Testing Site|9152 East Brown Road|Mesa|
Arizona|CVS Health COVID-19 Testing Site|360 North Val Vista|Mesa|
Arizona|Banner Desert Medical Center|1400 S Dobson Rd|Mesa|
Arizona|CVS Health COVID-19 Testing Site|1151 East McKellips Road|Mesa|
Arizona|CVS Health COVID-19 Testing Site|5954 East McDowell Road|Mesa|
Arizona|CVS Health COVID-19 Testing Site|6015 East Brown Road|Mesa|
Arizona|CVS Health COVID-19 Testing Site|7547 East Southern Avenue|Mesa|
Arizona|CVS Health COVID-19 Testing Site|9230 E. Broadway Road|Mesa|
Arizona|NextCare Urgent Care|298 W Mariposa Rd|Nogales|https://nextcare.com/coronavirus-covid-19/
Arizona|Southern Arizona Urgent Care Plus|1880 E. Tangerine Rd. Suite 100|Oro Valley|https://southernarizonaurgentcare.com/covid-19/
Arizona|Southern Arizona Urgent Care Plus|7725 N. Oracle Rd. Suite 131|Oro Valley|https://southernarizonaurgentcare.com/covid-19/
Arizona|CVS Health COVID-19 Testing Site|10650 North Oracle Road|Oro Valley|
Arizona|Carespot|24874 N 67th Ave|Peoria|https://www.carespot.com/covid19-visitor-info/
Arizona|Carespot|"21471 N Lake Pleasant Parkway, Suite 1710"|Peoria|https://www.carespot.com/covid19-visitor-info/
Arizona|Cigna Medical Center|"21731 N. 77th Ave., #1300"|Peoria|https://www.cigna.com/cmgaz/
Arizona|CVS Health COVID-19 Testing Site|8332 West Thunderbird Road|Peoria|
Arizona|CVS Health COVID-19 Testing Site|9856 West Peoria Avenue|Peoria|
Arizona|CVS Health COVID-19 Testing Site|9069 West Lake Pleasant Parkway|Peoria|
Arizona|CVS Health COVID-19 Testing Site|7530 West Cactus Road|Peoria|
Arizona|CVS Health COVID-19 Testing Site|North Lake Pleasant Parkway|Peoria|
Arizona|CVS Health COVID-19 Testing Site|10727 West Olive Avenue|Peoria|
Arizona|CVS Health COVID-19 Testing Site|9172 West Union Hills Drive|Peoria|
Arizona|FastMED Urgent Care|"2860 W Peoria Ave, Suite B"|Phoenix|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|FastMED Urgent Care|"3131 E Thunderbird Rd, Suite A"|Phoenix|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|FastMED Urgent Care|"401 E Bell Rd, Suite 18"|Phoenix|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|HonorHealth Medical Group Urgent Care - Saguaro|18404 N Tatum Blvd Ste 101C|Phoenix|https://www.honorhealth.com/coronavirus-covid-19/testing
Arizona|Family Tree Healthcare|7002 S Central Avenue|Phoenix|https://www.familytreehealthcare.com/free-covid-19
Arizona|HonorHealth Medical Group Urgent Care - Bethany Home|1515 E Bethany Home Rd Ste 120B|Phoenix|https://www.honorhealth.com/coronavirus-covid-19/testing
Arizona|FastMED Urgent Care|"5201 N 19th Ave, Suite 100"|Phoenix|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|FastMED Urgent Care|2301 N 44th St|Phoenix|https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona|NextCare Urgent Care|1701 E Thomas Rd.|Phoenix|https://nextcare.com/coronavirus-covid-19/
Arizona|Cigna Medical Center|7236 S. Central Ave.|Phoenix|https://www.cigna.com/cmgaz/
Arizona|Cigna Medical Center|3003 N. 3rd St.|Phoenix|https://www.cigna.com/cmgaz/
Arizona|Cigna Medical Center|"3805 E. Bell Rd., #2100"|Phoenix|https://www.cigna.com/cmgaz/
Arizona|Cigna Medical Center|"7000 N. 16th St., #130"|Phoenix|https://www.cigna.com/cmgaz/
Arizona|Cigna Medical Center|710 W. Bell Rd.|Phoenix|https://www.cigna.com/cmgaz/
