State|Location|Address|City|Facility|Hours
Alabama|Diagnostic and Medical Clinic|831 C Hillcrest Road|Mobile|Drive-thru|5-Aug
Alabama|The Grounds in Mobile|1035 Cody Rd N|Mobile|Drive-thru|
Alabama|Monroe County Health Department|416 Agricultural Drive|Monroeville|Drive-thru|Tuesdays 10-12
Alabama|Main Street Family Care|1195 South Alabama Ave.|Monroeville|Clinic|"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm"
Alabama|Monroe County Hospital|2016 South Alabama Avenues|Monroeville|Clinic|M-S 6:30-5
Alabama|Baptist Health Montgomery|2936 Marti Ln|Montgomery|Drive-thru|
Alabama|American Family Care|4305 Atlanta Hwy|Montgomery|Clinic|8am - 6pm
Alabama|American Family Care|2570 Berryhill Rd|Montgomery|Clinic|8:00 AM - 6:00 PM
Alabama|American Family Care|34 Taylor Road North|Montgomery|Clinic|8:00 AM - 8:00 PM
Alabama|Walmart|6495 Atlanta Hwy|Montgomery|Drive-thru|"Tue, Thurs 7 a.m. - 9 a.m."
Alabama|Main Street Family Care|2211 Moody Parkway|Moody|Clinic|"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm"
Alabama|North Mobile Health Center|950 Coy Smith Highway|Mt Vernon|Drive-thru|
Alabama|Urgent Team|210 Avalon Ave|Muscle Shoals|Clinic|
Alabama|Mitt Lary Family Practice|4815 Rose Blvd|Northport|Drive-thru|
Alabama|Main Street Family Care|2022 2nd Ave. East|Oneonta|Clinic|"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm"
Alabama|Stopwatch Urgent Care|151 N 20th Street|Opelika|Clinic|
Alabama|Capstone Clinic|"5947 Hwy 269, AL 35580"|Parrish|Clinic|"Mon, Wed, Fri: 8AM – 5PM and Tue, Thu: 8AM – 7PM"
Alabama|Main Street Family Care|300 Big Mountain Road|Pelham|Clinic|"Mon-Fri 12pm-10pm, Sat-Sun 9am-9pm"
Alabama|Stopwatch Urgent Care|"5415 Summerville Rd, Suite B"|Phenix City|Clinic|
Alabama|Baptist Health Prattville|350 County Rd 4 W|Prattville|Drive-thru|
Alabama|Franklin's Mobile Express / Prichard City Hall|216 E. Prichard Ave|Prichard|Drive-thru|
Alabama|Franklin Medical and Dental Express|216 E Prichard Ave|Prichard|Drive-thru|
Alabama|Trust Care|786 Lake Harbour Drive|Ridgeland|Clinic|
Alabama|Trust Care|"1051 Highland Colony Parkway, Suite E"|Ridgeland|Clinic|
Alabama|Walmart|1095 Industrial Pkwy|Saraland|Drive-thru|"Mon, Wed, Fri 7 a.m. - 9 a.m."
Alabama|Northeast Alabama Health Services|70 Freedom Drive|Scottsboro|Drive-thru|M-F 1pm - 4pm
Alabama|Northeast Alabama Health Services|21680 Alabama Hwy 79|Scottsboro|Drive-thru|M-F 1 pm - 3:30 pm
Alabama|Main Street Family Care|1475 AL Hwy 14 East|Selma|Clinic|"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm"
Alabama|Walmart|108 W Dallas Ave|Selma|Drive-thru|"Mon, Fri 10 a.m. - 3 p.m."
Alabama|Stopwatch Urgent Care|110 Legacy Park Way|Springville|Clinic|
Alabama|Main Street Family Care|40900 US Hwy 280|Sylacauga|Clinic|"Mon - Fri: 8am to 8pm, Sat-Sun: 9am to 4pm"
Alabama|Brookwood Baptist|604 Stone Ave|Talladega|Clinic|
Alabama|Main Street Family Care|837 E. Battle Street|Talladega|Clinic|"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm"
Alabama|Walmart|300 Medical Park Drive|Thomasville|Drive-thru|"Wed, Thurs 10 a.m. - 3 p.m."
Alabama|Troy University Soccer Complex|326 Veterans Memorial Drive|Troy|Drive-thru|April 30 10-12
Alabama|Stopwatch Urgent Care|1212 Highway 231 S|Troy|Clinic|
Alabama|Emergicare|1601 University Blvd E|Tuscaloosa|Clinic|
Alabama|Crimson Care|1251 McFarland Blvd NE|Tuscaloosa|Clinic|
Alabama|First Care|1251 McFarland Blvd NE|Tuscaloosa|Clinic|
Alabama|Crimson Care|1771 Skyland Blvd E|Tuscaloosa|Clinic|Mon-Fri 8:30am-7:00pm
Alabama|DCH Health System|809 University Blvd E|Tuscaloosa|Clinic|
Alabama|Crimson Care|1718 Veterans Memorial Parkway|Tuscaloosa|Clinic|
Alabama|Tuscaloosa County Health Department|2350 Hargrove Road East|Tuscaloosa|Drive-thru|Fridays 10-12
Alabama|Whatley Health|2731 Martin Luther King Jr. Blvd.|Tuscaloosa|Clinic|Monday – Friday 7:30 a.m. – 5:00 p.m.
Alabama|EAMC-Lanier|4800 48th Street|Valley|Drive-thru|"M-F 10-12, 1-4"
Alabama|Main Street Family Care|3306 20th Ave.|Valley|Clinic|"Mon - Fri 8am-8pm, Sat - Sun 9am-4pm"
Alabama|American Family Care|1680 Montgomery Hwy|Vestavia Hills|Clinic|
Alabama|Christ Health|5705 First Ave. North|Woodlawn|Clinic|
Alabama|Stopwatch Urgent Care|2900 Pepperell Pkwy||Opelika|Clinic|
Alaska|Walgreens|4353 Lake Otis Parkway|Anchorage|Drive-thru|9am-5pm
Alaska||4115 Lake Otis Pkwy|Anchorage|Drive-thru|7-Sep
Alaska|Eagle River|16620 Brooks Loop|Eagle River|Drive-thru|10:00am - 4:00 pm
Alaska|Fairbanks' Foundation Health Partners|9th Avenue & Noble Street|Fairbanks|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|325 West Apache Trail|Apache Junction|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|5400 East Carefree Highway/PO Box 5482|Carefree|Drive-thru|
Arizona|NextCare Urgent Care|1683 E Florence Blvd|Casa Grande|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|1686 East Florence Boulevard|Casa Grande|Drive-thru|
Arizona|FastMED Urgent Care|"3705 S Arizona Ave, Suite 1"|Chandler|Clinic|
Arizona|NextCare Urgent Care|600 S Dobson Rd|Chandler|Drive-thru|
Arizona|FastMED Urgent Care|"2875 W Ray Rd, Suite 8"|Chandler|Clinic|
Arizona|Cigna Medical Center|1717 W. Chandler Blvd.|Chandler|Clinic|
Arizona|CVS Health COVID-19 Testing Site|2995 East Chandler Heights Road|Chandler|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|4990 South Arizona Avenue|Chandler|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|180 North Dobson Road|Chandler|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|3990 West Ray Road|Chandler|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|5975 West Chandler Boulevard|Chandler|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|990 East Pecos Road|Chandler|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|990 East Warner Road|Chandler|Drive-thru|
Arizona|Thumb Butte|87 S. State Route 89|Chino Valley|Clinic|
Arizona|Northern Arizona Healthcare|269 S Candy Ln|Cottonwood|Drive-thru|"Monday, May 18, the site will be open on Mondays and Thursdays from 8 a.m. to noon."
Arizona|CVS Health COVID-19 Testing Site|1179 South State Route 260|Cottonwood|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|286 East 7th Street|Douglas|Drive-thru|
Arizona|Walgreens|15385 N Dysart Rd|El Mirage|Drive-thru|9am-5pm
Arizona|Northern Arizona Healthcare|2446 Fort Tuthill Loop|Flagstaff|Drive-thru|
Arizona|Flagstaff Urgent Care|"2700 S. Woodlands Village Blvd, Suite 700"|Flagstaff|Clinic|
Arizona||446 Fort Tuthill Loop|Flagstaff|Drive-thru|10 - 3
Arizona|FastMED Urgent Care|"495 N Pinal Pkwy, Suite 106"|Florence|Clinic|
Arizona|CVS Health COVID-19 Testing Site|4744 South Highway 95|Fort Mohave|Drive-thru|
Arizona|Carespot|"2487 South Gilbert Road, Suite 108"|Gilbert|Clinic|
Arizona|NextCare Urgent Care|6343 South Higley Road|Gilbert|Drive-thru|
Arizona|Cigna Medical Center|"3530 S. Val Vista Dr., #101"|Gilbert|Clinic|
Arizona|CVS Health COVID-19 Testing Site|2371 East Guadalupe Street|Gilbert|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|2428 South Val Vista Drive|Gilbert|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|3170 South Higley Road|Gilbert|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|765 South Lindsay Road|Gilbert|Drive-thru|
Arizona|NextCare Urgent Care|18589 N 59th Ave|Glendale|Drive-thru|
Arizona|Cigna Medical Center|5891 W. Eugie Ave.|Glendale|Clinic|
Arizona|FastMED Urgent Care|"3730 W Happy Valley Rd, Suite 100"|Glendale|Clinic|
Arizona|Redirect Health Centers Clinic|16390 N 59th Ave #200|Glendale|Drive-thru|
Arizona|NextCare Urgent Care|9494 W Northern Ave #101|Glendale|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|5125 West Olive Avenue|Glendale|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|7499 West Bethany Home Road|Glendale|Drive-thru|
Arizona|FastMED Urgent Care|"1507 N Litchfield Rd, Suite 200"|Goodyear|Clinic|
Arizona|Cigna Medical Center|"14445 W. McDowell Rd., #A-104"|Goodyear|Clinic|
Arizona|CVS Health COVID-19 Testing Site|2840 North Dysart Road|Goodyear|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|3501 Stockton Hill Road|Kingman|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|75 North Lake Havasu Avenue|Lake Havasu City|Drive-thru|
Arizona|Carespot|5130 W Baseline Road|Laveen|Clinic|
Arizona|CVS Health COVID-19 Testing Site|5050 West Baseline Road|Laveen|Drive-thru|
Arizona|Carespot|"13840 West Camelback Road, Suite 10"|Litchfield Park|Clinic|
Arizona|CVS Health COVID-19 Testing Site|4890 North Litchfield Road|Litchfield Park|Drive-thru|
Arizona|FastMED Urgent Care|"7850 N Silverbell Rd, Suite 132"|Marana|Clinic|
Arizona|CVS Health COVID-19 Testing Site|44274 West-Smith Enke Rd.|Maricopa|Drive-thru|
Arizona|FastMED Urgent Care|"1810 S Power Rd, Suite 101"|Mesa|Clinic|
Arizona|Maready Medical|4135 S. Power Rd. #113|Mesa|Drive-thru|
Arizona|FastMED Urgent Care|"415 N Val Vista Dr, Suite 101"|Mesa|Clinic|
Arizona|FastMED Urgent Care|835 W University Dr|Mesa|Clinic|
Arizona|NextCare Urgent Care|1066 N Power Rd. #101|Mesa|Drive-thru|
Arizona|Cigna Medical Center|"1840 S. Stapley Dr., #101"|Mesa|Clinic|
Arizona|Cigna Medical Center|6811 E. Superstition Springs Blvd.|Mesa|Clinic|
Arizona|Cigna Medical Center|"5735 E. McKellips Rd., #101"|Mesa|Clinic|
Arizona|CVS Health COVID-19 Testing Site|2809 South Sossaman Road|Mesa|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|9152 East Brown Road|Mesa|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|360 North Val Vista|Mesa|Drive-thru|
Arizona|Banner Desert Medical Center|1400 S Dobson Rd|Mesa|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|1151 East McKellips Road|Mesa|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|5954 East McDowell Road|Mesa|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|6015 East Brown Road|Mesa|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|7547 East Southern Avenue|Mesa|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|9230 E. Broadway Road|Mesa|Drive-thru|
Arizona|NextCare Urgent Care|298 W Mariposa Rd|Nogales|Drive-thru|
Arizona|Southern Arizona Urgent Care Plus|1880 E. Tangerine Rd. Suite 100|Oro Valley|Clinic|
Arizona|Southern Arizona Urgent Care Plus|7725 N. Oracle Rd. Suite 131|Oro Valley|Clinic|
Arizona|CVS Health COVID-19 Testing Site|10650 North Oracle Road|Oro Valley|Drive-thru|
Arizona|Carespot|24874 N 67th Ave|Peoria|Clinic|
Arizona|Carespot|"21471 N Lake Pleasant Parkway, Suite 1710"|Peoria|Clinic|
Arizona|Cigna Medical Center|"21731 N. 77th Ave., #1300"|Peoria|Clinic|
Arizona|CVS Health COVID-19 Testing Site|8332 West Thunderbird Road|Peoria|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|9856 West Peoria Avenue|Peoria|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|9069 West Lake Pleasant Parkway|Peoria|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|7530 West Cactus Road|Peoria|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|North Lake Pleasant Parkway|Peoria|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|10727 West Olive Avenue|Peoria|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|9172 West Union Hills Drive|Peoria|Drive-thru|
Arizona|FastMED Urgent Care|"2860 W Peoria Ave, Suite B"|Phoenix|Clinic|
Arizona|FastMED Urgent Care|"3131 E Thunderbird Rd, Suite A"|Phoenix|Clinic|
Arizona|FastMED Urgent Care|"401 E Bell Rd, Suite 18"|Phoenix|Clinic|
Arizona|HonorHealth Medical Group Urgent Care - Saguaro|18404 N Tatum Blvd Ste 101C|Phoenix|Clinic|
Arizona|Family Tree Healthcare|7002 S Central Avenue|Phoenix|Clinic|
Arizona|HonorHealth Medical Group Urgent Care - Bethany Home|1515 E Bethany Home Rd Ste 120B|Phoenix|Clinic|
Arizona|FastMED Urgent Care|"5201 N 19th Ave, Suite 100"|Phoenix|Clinic|
Arizona|FastMED Urgent Care|2301 N 44th St|Phoenix|Clinic|
Arizona|NextCare Urgent Care|1701 E Thomas Rd.|Phoenix|Drive-thru|
Arizona|Cigna Medical Center|7236 S. Central Ave.|Phoenix|Clinic|
Arizona|Cigna Medical Center|3003 N. 3rd St.|Phoenix|Clinic|
Arizona|Cigna Medical Center|"3805 E. Bell Rd., #2100"|Phoenix|Clinic|
Arizona|Cigna Medical Center|"7000 N. 16th St., #130"|Phoenix|Clinic|
Arizona|Cigna Medical Center|710 W. Bell Rd.|Phoenix|Clinic|
Arizona|NextCare Urgent Care|5920 W McDowell Rd|Phoenix|Drive-thru|
Arizona|FastMED Urgent Care|"8260 W Indian School Rd, Suite 1"|Phoenix|Clinic|
Arizona|FastMED Urgent Care|"5259 W Indian School Rd, Suite 100"|Phoenix|Clinic|
Arizona|Cigna Medical Center|2302 N. 75th Ave.|Phoenix|Clinic|
Arizona|Banner Health|"Multiple locations, call for details"|Phoenix|Drive-thru|7-5
Arizona|CVS Health COVID-19 Testing Site|2406 East Thomas Road|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|28635 North Valley Parkway|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|3210 East Union Hills|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|3610 West Anthem Way|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|6650 West Lower Buckeye Road|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|4657 East Chandler Boulevard|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|3975 East Thunderbird Road|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|711 E Indian School Rd.|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|7550 South 19th Avenue|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|4040 North 19th Avenue|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|1615 East Baseline|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|10707 West Camelback Road|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|1625 North 44th Street|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|1850 West Dunlap Avenue|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|1855 West Thunderbird Road|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|3560 West Peoria Avenue|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|4323 East Bell Road|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|4430 East Ray Road|Phoenix|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|6021 South Central Avenue|Phoenix|Drive-thru|
Arizona|Walgreens|705 E MCDOWELL RD|PHOENIX|Drive-thru|9am-5pm
Arizona|Walgreens|2650 W Glendale Ave|Phoenix|Drive-thru|9am-5pm
Arizona|CVS Health COVID-19 Testing Site|1525 North Central Avenue|Phoenix|Drive-thru|
Arizona|Thumb Butte|3124 Willow Creek Rd.|Prescott|Clinic|
Arizona|CVS Health COVID-19 Testing Site|901 Willow Lake Road|Prescott|Drive-thru|
Arizona|Thumb Butte|6496 E. HWY 69|Prescott Valley|Clinic|
Arizona|CVS Health COVID-19 Testing Site|3025 North Windsong Drive|Prescott Valley|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|7587 South Power Road|Queen Creek|Drive-thru|
Arizona|Bio Clinic|"1453 N Main Street, Ste. 3"|San Luis|Clinic|Mon - Sun 8AM - 5PM
Arizona|Cigna Medical Center|"36305 N. Gantzel Rd., #102"|San Tan Valley|Clinic|
Arizona|NextCare Urgent Care|2122 N Scottsdale Rd|Scottsdale|Drive-thru|
Arizona|FastMED Urgent Care|"4902 E Shea Blvd, Suite 101"|Scottsdale|Clinic|
Arizona|Carespot|"23015 N Scottsdale Road, Suite 101"|Scottsdale|Clinic|
Arizona|FastMED Urgent Care|"7730 E Mcdowell Rd, Suite 101"|Scottsdale|Clinic|
Arizona|Cigna Medical Center|"10900 N. Scottsdale Rd., #606"|Scottsdale|Clinic|
Arizona|Cigna Medical Center|"7287 E. Earll Dr., Bldg. D"|Scottsdale|Clinic|
Arizona|CVS Health COVID-19 Testing Site|7111 East Bell Road|Scottsdale|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|7552 Indian School Road|Scottsdale|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|32331 North Scottsdale Road|Scottsdale|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|23215 North Pima Road|Scottsdale|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|10010 North Scottsdale Road|Scottsdale|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|10160 East Bell Road|Scottsdale|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|14672 North Frank Lloyd Wright|Scottsdale|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|20 Airport Road|Sedona|Drive-thru|
Arizona|Summer Healthcare Hospital|2200 E Show Low Lake Rd|Show Low|Clinic|
Arizona|Summer Healthcare Outpatient Pavilion|4951 S. White Mountain Rd|Show Low|Clinic|
Arizona|CVS Health COVID-19 Testing Site|60 E. Deuce of Clubs Drive|Show Low|Drive-thru|
Arizona|Cigna Medical Center|9069 W. Thunderbird Rd.|Sun City|Clinic|
Arizona|CVS Health COVID-19 Testing Site|9901B West Thunderbird Boulevard|Sun City|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|19602 R H Johnson Boulevard|Sun City West|Drive-thru|
Arizona|CVS Health COVID-19 Testing Site|9546 East Riggs Road|Sun Lakes|Drive-thru|
Arizona|FastMED Urgent Care|"12775 W Bell Rd, Suite 100"|Surprise|Clinic|
Arizona|Carespot|"16840 W Waddell Road, Suite 110"|Surprise|Clinic|
Arizona|Cigna Medical Center|"13991 W. Grand Ave., #105"|Surprise|Clinic|
