State |Location |Address |City |Eligibility
Alabama |Infirmary  Health |166  Mobile  Infirmary  Blvd |Mobile |
Alabama |Franklin  Medical  Mall |1303  Martin  Luther  King  Jr.  Ave |Mobile |
Alabama |Greater  Mobile  Urgent  Care |2350  Schillinger  Road |Mobile |
Alabama |Diagnostic  and  Medical  Clinic |1700  Springhill  Ave |Mobile |screening  required  at  location
Alabama |Diagnostic  and  Medical  Clinic |831  C  Hillcrest  Road |Mobile |screening  required  at  location
Alabama |The  Grounds  in  Mobile |1035  Cody  Rd  N |Mobile |Waiting  for  testing  kits
Alabama |Monroe  County  Health  Department |416  Agricultural  Drive |Monroeville |call  for  appt;  symptomatic/10+  years  or  older
Alabama |Main  Street  Family  Care |1195  South  Alabama  Ave. |Monroeville |
Alabama |Monroe  County  Hospital |2016  South  Alabama  Avenues |Monroeville |call  first
Alabama |Baptist  Health  Montgomery |2936  Marti  Ln |Montgomery |
Alabama |American  Family  Care |4305  Atlanta  Hwy |Montgomery |
Alabama |American  Family  Care |2570  Berryhill  Rd |Montgomery |
Alabama |American  Family  Care |34  Taylor  Road  North |Montgomery |
Alabama |Walmart |6495  Atlanta  Hwy |Montgomery |
Alabama |Main  Street  Family  Care |2211  Moody  Parkway |Moody |
Alabama |North  Mobile  Health  Center |950  Coy  Smith  Highway |Mt  Vernon |
Alabama |Urgent  Team |210  Avalon  Ave |Muscle  Shoals |
Alabama |Mitt  Lary  Family  Practice |4815  Rose  Blvd |Northport |
Alabama |Main  Street  Family  Care |2022  2nd  Ave.  East |Oneonta |
Alabama |Stopwatch  Urgent  Care |151  N  20th  Street |Opelika |
Alabama |Capstone  Clinic |"5947  Hwy  269,  AL  35580" |Parrish |
Alabama |Main  Street  Family  Care |300  Big  Mountain  Road |Pelham |
Alabama |Stopwatch  Urgent  Care |"5415  Summerville  Rd,  Suite  B" |Phenix  City |
Alabama |Baptist  Health  Prattville |350  County  Rd  4  W |Prattville |
Alabama |Franklin's  Mobile  Express  /  Prichard  City  Hall |216  E.  Prichard  Ave |Prichard |
Alabama |Franklin  Medical  and  Dental  Express |216  E  Prichard  Ave |Prichard |
Alabama |Trust  Care |786  Lake  Harbour  Drive |Ridgeland |
Alabama |Trust  Care |"1051  Highland  Colony  Parkway,  Suite  E" |Ridgeland |
Alabama |Walmart |1095  Industrial  Pkwy |Saraland |
Alabama |Northeast  Alabama  Health  Services |70  Freedom  Drive |Scottsboro |
Alabama |Northeast  Alabama  Health  Services |21680  Alabama  Hwy  79 |Scottsboro |
Alabama |Main  Street  Family  Care |1475  AL  Hwy  14  East |Selma |
Alabama |Walmart |108  W  Dallas  Ave |Selma |
Alabama |Stopwatch  Urgent  Care |110  Legacy  Park  Way |Springville |
Alabama |Main  Street  Family  Care |40900  US  Hwy  280 |Sylacauga |
Alabama |Brookwood  Baptist |604  Stone  Ave |Talladega |
Alabama |Main  Street  Family  Care |837  E.  Battle  Street |Talladega |
Alabama |Walmart |300  Medical  Park  Drive |Thomasville |
Alabama |Troy  University  Soccer  Complex |326  Veterans  Memorial  Drive |Troy |symptomatic/10+  years  or  older;  referral
Alabama |Stopwatch  Urgent  Care |1212  Highway  231  S |Troy |
Alabama |Emergicare |1601  University  Blvd  E |Tuscaloosa |
Alabama |Crimson  Care |1251  McFarland  Blvd  NE |Tuscaloosa |
Alabama |First  Care |1251  McFarland  Blvd  NE |Tuscaloosa |
Alabama |Crimson  Care |1771  Skyland  Blvd  E |Tuscaloosa |
Alabama |DCH  Health  System |809  University  Blvd  E |Tuscaloosa |
Alabama |Crimson  Care |1718  Veterans  Memorial  Parkway |Tuscaloosa |
Alabama |Tuscaloosa  County  Health  Department |2350  Hargrove  Road  East |Tuscaloosa |call  for  appt;  symptomatic/10+  years  or  older
Alabama |Whatley  Health |2731  Martin  Luther  King  Jr.  Blvd. |Tuscaloosa |
Alabama |EAMC-Lanier |4800  48th  Street |Valley |appt  only
Alabama |Main  Street  Family  Care |3306  20th  Ave. |Valley |
Alabama |American  Family  Care |1680  Montgomery  Hwy |Vestavia  Hills |
Alabama |Christ  Health |5705  First  Ave.  North |Woodlawn |text  SICK  to  74000  for  pre  screening
Alabama |Stopwatch  Urgent  Care |2900  Pepperell  Pkwy | |Opelika |Register  here.
Alaska |Walgreens |4353  Lake  Otis  Parkway |Anchorage |No  appointment  needed.  A  valid  ID  is  required.  Bring  insurance  card  if  you  have  one.
Alaska | |4115  Lake  Otis  Pkwy |Anchorage |
Alaska |Eagle  River |16620  Brooks  Loop |Eagle  River |
Alaska |Fairbanks'  Foundation  Health  Partners |9th  Avenue  &  Noble  Street |Fairbanks |
Arizona |CVS  Health  COVID-19  Testing  Site |325  West  Apache  Trail |Apache  Junction |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |5400  East  Carefree  Highway/PO  Box  5482 |Carefree |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |NextCare  Urgent  Care |1683  E  Florence  Blvd |Casa  Grande |
Arizona |CVS  Health  COVID-19  Testing  Site |1686  East  Florence  Boulevard |Casa  Grande |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |FastMED  Urgent  Care |"3705  S  Arizona  Ave,  Suite  1" |Chandler |
Arizona |NextCare  Urgent  Care |600  S  Dobson  Rd |Chandler |
Arizona |FastMED  Urgent  Care |"2875  W  Ray  Rd,  Suite  8" |Chandler |
Arizona |Cigna  Medical  Center |1717  W.  Chandler  Blvd. |Chandler |
Arizona |CVS  Health  COVID-19  Testing  Site |2995  East  Chandler  Heights  Road |Chandler |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |4990  South  Arizona  Avenue |Chandler |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |180  North  Dobson  Road |Chandler |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |3990  West  Ray  Road |Chandler |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |5975  West  Chandler  Boulevard |Chandler |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |990  East  Pecos  Road |Chandler |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |990  East  Warner  Road |Chandler |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Thumb  Butte |87  S.  State  Route  89 |Chino  Valley |
Arizona |Northern  Arizona  Healthcare |269  S  Candy  Ln |Cottonwood |
Arizona |CVS  Health  COVID-19  Testing  Site |1179  South  State  Route  260 |Cottonwood |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |286  East  7th  Street |Douglas |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Walgreens |15385  N  Dysart  Rd |El  Mirage |Appointment  only  –  complete  questionnaire:  Walgreens.com/Covid19Testing
Arizona |Northern  Arizona  Healthcare |2446  Fort  Tuthill  Loop |Flagstaff |
Arizona |Flagstaff  Urgent  Care |"2700  S.  Woodlands  Village  Blvd,  Suite  700" |Flagstaff |
Arizona | |446  Fort  Tuthill  Loop |Flagstaff |
Arizona |FastMED  Urgent  Care |"495  N  Pinal  Pkwy,  Suite  106" |Florence |
Arizona |CVS  Health  COVID-19  Testing  Site |4744  South  Highway  95 |Fort  Mohave |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Carespot |"2487  South  Gilbert  Road,  Suite  108" |Gilbert |
Arizona |NextCare  Urgent  Care |6343  South  Higley  Road |Gilbert |
Arizona |Cigna  Medical  Center |"3530  S.  Val  Vista  Dr.,  #101" |Gilbert |
Arizona |CVS  Health  COVID-19  Testing  Site |2371  East  Guadalupe  Street |Gilbert |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |2428  South  Val  Vista  Drive |Gilbert |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |3170  South  Higley  Road |Gilbert |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |765  South  Lindsay  Road |Gilbert |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |NextCare  Urgent  Care |18589  N  59th  Ave |Glendale |
Arizona |Cigna  Medical  Center |5891  W.  Eugie  Ave. |Glendale |
Arizona |FastMED  Urgent  Care |"3730  W  Happy  Valley  Rd,  Suite  100" |Glendale |
Arizona |Redirect  Health  Centers  Clinic |16390  N  59th  Ave  #200 |Glendale |
Arizona |NextCare  Urgent  Care |9494  W  Northern  Ave  #101 |Glendale |
Arizona |CVS  Health  COVID-19  Testing  Site |5125  West  Olive  Avenue |Glendale |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |7499  West  Bethany  Home  Road |Glendale |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |FastMED  Urgent  Care |"1507  N  Litchfield  Rd,  Suite  200" |Goodyear |
Arizona |Cigna  Medical  Center |"14445  W.  McDowell  Rd.,  #A-104" |Goodyear |
Arizona |CVS  Health  COVID-19  Testing  Site |2840  North  Dysart  Road |Goodyear |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |3501  Stockton  Hill  Road |Kingman |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |75  North  Lake  Havasu  Avenue |Lake  Havasu  City |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Carespot |5130  W  Baseline  Road |Laveen |
Arizona |CVS  Health  COVID-19  Testing  Site |5050  West  Baseline  Road |Laveen |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Carespot |"13840  West  Camelback  Road,  Suite  10" |Litchfield  Park |
Arizona |CVS  Health  COVID-19  Testing  Site |4890  North  Litchfield  Road |Litchfield  Park |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |FastMED  Urgent  Care |"7850  N  Silverbell  Rd,  Suite  132" |Marana |
Arizona |CVS  Health  COVID-19  Testing  Site |44274  West-Smith  Enke  Rd. |Maricopa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |FastMED  Urgent  Care |"1810  S  Power  Rd,  Suite  101" |Mesa |
Arizona |Maready  Medical |4135  S.  Power  Rd.  #113 |Mesa |
Arizona |FastMED  Urgent  Care |"415  N  Val  Vista  Dr,  Suite  101" |Mesa |
Arizona |FastMED  Urgent  Care |835  W  University  Dr |Mesa |
Arizona |NextCare  Urgent  Care |1066  N  Power  Rd.  #101 |Mesa |
Arizona |Cigna  Medical  Center |"1840  S.  Stapley  Dr.,  #101" |Mesa |
Arizona |Cigna  Medical  Center |6811  E.  Superstition  Springs  Blvd. |Mesa |
Arizona |Cigna  Medical  Center |"5735  E.  McKellips  Rd.,  #101" |Mesa |
Arizona |CVS  Health  COVID-19  Testing  Site |2809  South  Sossaman  Road |Mesa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |9152  East  Brown  Road |Mesa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |360  North  Val  Vista |Mesa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Banner  Desert  Medical  Center |1400  S  Dobson  Rd |Mesa |no  call  required;  charged  as  ER  visit
Arizona |CVS  Health  COVID-19  Testing  Site |1151  East  McKellips  Road |Mesa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |5954  East  McDowell  Road |Mesa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |6015  East  Brown  Road |Mesa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |7547  East  Southern  Avenue |Mesa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |9230  E.  Broadway  Road |Mesa |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |NextCare  Urgent  Care |298  W  Mariposa  Rd |Nogales |
Arizona |Southern  Arizona  Urgent  Care  Plus |1880  E.  Tangerine  Rd.  Suite  100 |Oro  Valley |
Arizona |Southern  Arizona  Urgent  Care  Plus |7725  N.  Oracle  Rd.  Suite  131 |Oro  Valley |
Arizona |CVS  Health  COVID-19  Testing  Site |10650  North  Oracle  Road |Oro  Valley |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Carespot |24874  N  67th  Ave |Peoria |
Arizona |Carespot |"21471  N  Lake  Pleasant  Parkway,  Suite  1710" |Peoria |
Arizona |Cigna  Medical  Center |"21731  N.  77th  Ave.,  #1300" |Peoria |
Arizona |CVS  Health  COVID-19  Testing  Site |8332  West  Thunderbird  Road |Peoria |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |9856  West  Peoria  Avenue |Peoria |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |9069  West  Lake  Pleasant  Parkway |Peoria |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |7530  West  Cactus  Road |Peoria |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |North  Lake  Pleasant  Parkway |Peoria |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |10727  West  Olive  Avenue |Peoria |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |9172  West  Union  Hills  Drive |Peoria |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |FastMED  Urgent  Care |"2860  W  Peoria  Ave,  Suite  B" |Phoenix |
Arizona |FastMED  Urgent  Care |"3131  E  Thunderbird  Rd,  Suite  A" |Phoenix |
Arizona |FastMED  Urgent  Care |"401  E  Bell  Rd,  Suite  18" |Phoenix |
Arizona |HonorHealth  Medical  Group  Urgent  Care  -  Saguaro |18404  N  Tatum  Blvd  Ste  101C |Phoenix |
Arizona |Family  Tree  Healthcare |7002  S  Central  Avenue |Phoenix |First  come  first  serve
Arizona |HonorHealth  Medical  Group  Urgent  Care  -  Bethany  Home |1515  E  Bethany  Home  Rd  Ste  120B |Phoenix |
Arizona |FastMED  Urgent  Care |"5201  N  19th  Ave,  Suite  100" |Phoenix |
Arizona |FastMED  Urgent  Care |2301  N  44th  St |Phoenix |
Arizona |NextCare  Urgent  Care |1701  E  Thomas  Rd. |Phoenix |
Arizona |Cigna  Medical  Center |7236  S.  Central  Ave. |Phoenix |
Arizona |Cigna  Medical  Center |3003  N.  3rd  St. |Phoenix |
Arizona |Cigna  Medical  Center |"3805  E.  Bell  Rd.,  #2100" |Phoenix |
Arizona |Cigna  Medical  Center |"7000  N.  16th  St.,  #130" |Phoenix |
Arizona |Cigna  Medical  Center |710  W.  Bell  Rd. |Phoenix |
Arizona |NextCare  Urgent  Care |5920  W  McDowell  Rd |Phoenix |
Arizona |FastMED  Urgent  Care |"8260  W  Indian  School  Rd,  Suite  1" |Phoenix |
Arizona |FastMED  Urgent  Care |"5259  W  Indian  School  Rd,  Suite  100" |Phoenix |
Arizona |Cigna  Medical  Center |2302  N.  75th  Ave. |Phoenix |
Arizona |Banner  Health |"Multiple  locations,  call  for  details" |Phoenix |"call  for  pre-screen;  symptomatic;  Not  releasing  test  locations,  call  for  appt"
Arizona |CVS  Health  COVID-19  Testing  Site |2406  East  Thomas  Road |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |28635  North  Valley  Parkway |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |3210  East  Union  Hills |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |3610  West  Anthem  Way |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |6650  West  Lower  Buckeye  Road |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |4657  East  Chandler  Boulevard |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |3975  East  Thunderbird  Road |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |711  E  Indian  School  Rd. |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |7550  South  19th  Avenue |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |4040  North  19th  Avenue |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |1615  East  Baseline |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |10707  West  Camelback  Road |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |1625  North  44th  Street |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |1850  West  Dunlap  Avenue |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |1855  West  Thunderbird  Road |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |3560  West  Peoria  Avenue |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |4323  East  Bell  Road |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |4430  East  Ray  Road |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |6021  South  Central  Avenue |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Walgreens |705  E  MCDOWELL  RD |PHOENIX |Appointment  only  –  complete  questionnaire:  Walgreens.com/Covid19Testing
Arizona |Walgreens |2650  W  Glendale  Ave |Phoenix |No  appointment  needed.  A  valid  ID  is  required.  Bring  insurance  card  if  you  have  one.
Arizona |CVS  Health  COVID-19  Testing  Site |1525  North  Central  Avenue |Phoenix |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Thumb  Butte |3124  Willow  Creek  Rd. |Prescott |
Arizona |CVS  Health  COVID-19  Testing  Site |901  Willow  Lake  Road |Prescott |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Thumb  Butte |6496  E.  HWY  69 |Prescott  Valley |
Arizona |CVS  Health  COVID-19  Testing  Site |3025  North  Windsong  Drive |Prescott  Valley |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |CVS  Health  COVID-19  Testing  Site |7587  South  Power  Road |Queen  Creek |schedule  here:  https://www.cvs.com/minuteclinic/covid-19-testing
Arizona |Bio  Clinic |"1453  N  Main  Street,  Ste.  3" |San  Luis |
Arizona |Cigna  Medical  Center |"36305  N.  Gantzel  Rd.,  #102" |San  Tan  Valley |
Arizona |NextCare  Urgent  Care |2122  N  Scottsdale  Rd |Scottsdale |
Arizona |FastMED  Urgent  Care |"4902  E  Shea  Blvd,  Suite  101" |Scottsdale |
Arizona |Carespot |"23015  N  Scottsdale  Road,  Suite  101" |Scottsdale |
Arizona |FastMED  Urgent  Care |"7730  E  Mcdowell  Rd,  Suite  101" |Scottsdale |
