State |Location |Address |City |Phone Number
Alabama |American Family Care |34 Taylor Road North |Montgomery |334-581-8396
Alabama |Walmart |6495 Atlanta Hwy |Montgomery |N/A
Alabama |Main Street Family Care |2211 Moody Parkway |Moody |(205) 352-2480
Alabama |North Mobile Health Center |950 Coy Smith Highway |Mt Vernon |(251) 829-9884
Alabama |Urgent Team |210 Avalon Ave |Muscle Shoals |(256) 826-1001
Alabama |Mitt Lary Family Practice |4815 Rose Blvd |Northport |205-606-6562
Alabama |Main Street Family Care |2022 2nd Ave. East |Oneonta |(205)-625-3650
Alabama |Stopwatch Urgent Care |151 N 20th Street |Opelika |334.203.1777
Alabama |Capstone Clinic |"5947 Hwy 269, AL 35580" |Parrish |(205) 686-5113
Alabama |Main Street Family Care |300 Big Mountain Road |Pelham |205-644-8289
Alabama |Stopwatch Urgent Care |"5415 Summerville Rd, Suite B" |Phenix City |334.384.9411
Alabama |Baptist Health Prattville |350 County Rd 4 W |Prattville |(334) 747-0150
Alabama |Franklin's Mobile Express / Prichard City Hall |216 E. Prichard Ave |Prichard |(251) 444-1122
Alabama |Franklin Medical and Dental Express |216 E Prichard Ave |Prichard |251-444-1122
Alabama |Trust Care |786 Lake Harbour Drive |Ridgeland |(601) 499-0022
Alabama |Trust Care |"1051 Highland Colony Parkway, Suite E" |Ridgeland |(601) 707-3737
Alabama |Walmart |1095 Industrial Pkwy |Saraland |N/A
Alabama |Northeast Alabama Health Services |70 Freedom Drive |Scottsboro |256-574-5508
Alabama |Northeast Alabama Health Services |21680 Alabama Hwy 79 |Scottsboro |256-587-3050
Alabama |Main Street Family Care |1475 AL Hwy 14 East |Selma |(334) 526-3240
Alabama |Walmart |108 W Dallas Ave |Selma |N/A
Alabama |Stopwatch Urgent Care |110 Legacy Park Way |Springville |205.719.1000
Alabama |Main Street Family Care |40900 US Hwy 280 |Sylacauga |256-369-0022
Alabama |Brookwood Baptist |604 Stone Ave |Talladega |(256) 362-8111
Alabama |Main Street Family Care |837 E. Battle Street |Talladega |256-649-8134
Alabama |Walmart |300 Medical Park Drive |Thomasville |N/A
Alabama |Troy University Soccer Complex |326 Veterans Memorial Drive |Troy |(334) 792-9070
Alabama |Stopwatch Urgent Care |1212 Highway 231 S |Troy |334.888.0827
Alabama |Emergicare |1601 University Blvd E |Tuscaloosa |(205) 349-2273
Alabama |Crimson Care |1251 McFarland Blvd NE |Tuscaloosa |(205) 349-2323
Alabama |First Care |1251 McFarland Blvd NE |Tuscaloosa |(205) 349-2323
Alabama |Crimson Care |1771 Skyland Blvd E |Tuscaloosa |(205) 507-1119
Alabama |DCH Health System |809 University Blvd E |Tuscaloosa |(205) 759-7111
Alabama |Crimson Care |1718 Veterans Memorial Parkway |Tuscaloosa |205-507-1100
Alabama |Tuscaloosa County Health Department |2350 Hargrove Road East |Tuscaloosa |205-562-6900
Alabama |Whatley Health |2731 Martin Luther King Jr. Blvd. |Tuscaloosa |205.758.6647
Alabama |EAMC-Lanier |4800 48th Street |Valley |334-528-SICK
Alabama |Main Street Family Care |3306 20th Ave. |Valley |334-756-0305
Alabama |American Family Care |1680 Montgomery Hwy |Vestavia Hills |205-236-6394
Alabama |Christ Health |5705 First Ave. North |Woodlawn |N/A
Alabama |Stopwatch Urgent Care |2900 Pepperell Pkwy | |Opelika |N/A
Alaska |Walgreens |4353 Lake Otis Parkway |Anchorage |N/A
Alaska | |4115 Lake Otis Pkwy |Anchorage |N/A
Alaska |Eagle River |16620 Brooks Loop |Eagle River |N/A
Alaska |Fairbanks' Foundation Health Partners |9th Avenue & Noble Street |Fairbanks |907-458-2888
Arizona |CVS Health COVID-19 Testing Site |325 West Apache Trail |Apache Junction |N/A
Arizona |CVS Health COVID-19 Testing Site |5400 East Carefree Highway/PO Box 5482 |Carefree |N/A
Arizona |NextCare Urgent Care |1683 E Florence Blvd |Casa Grande |520-876-0800
Arizona |CVS Health COVID-19 Testing Site |1686 East Florence Boulevard |Casa Grande |N/A
Arizona |FastMED Urgent Care |"3705 S Arizona Ave, Suite 1" |Chandler |480-214-7828
Arizona |NextCare Urgent Care |600 S Dobson Rd |Chandler |480-814-1560
Arizona |FastMED Urgent Care |"2875 W Ray Rd, Suite 8" |Chandler |480-899-3070
Arizona |Cigna Medical Center |1717 W. Chandler Blvd. |Chandler |480.821.7565
Arizona |CVS Health COVID-19 Testing Site |2995 East Chandler Heights Road |Chandler |N/A
Arizona |CVS Health COVID-19 Testing Site |4990 South Arizona Avenue |Chandler |N/A
Arizona |CVS Health COVID-19 Testing Site |180 North Dobson Road |Chandler |N/A
Arizona |CVS Health COVID-19 Testing Site |3990 West Ray Road |Chandler |N/A
Arizona |CVS Health COVID-19 Testing Site |5975 West Chandler Boulevard |Chandler |N/A
Arizona |CVS Health COVID-19 Testing Site |990 East Pecos Road |Chandler |N/A
Arizona |CVS Health COVID-19 Testing Site |990 East Warner Road |Chandler |N/A
Arizona |Thumb Butte |87 S. State Route 89 |Chino Valley |928.208.4309
Arizona |Northern Arizona Healthcare |269 S Candy Ln |Cottonwood |1-833-708-0894
Arizona |CVS Health COVID-19 Testing Site |1179 South State Route 260 |Cottonwood |N/A
Arizona |CVS Health COVID-19 Testing Site |286 East 7th Street |Douglas |N/A
Arizona |Walgreens |15385 N Dysart Rd |El Mirage |N/A
Arizona |Northern Arizona Healthcare |2446 Fort Tuthill Loop |Flagstaff |928-679-7300
Arizona |Flagstaff Urgent Care |"2700 S. Woodlands Village Blvd, Suite 700" |Flagstaff |(928) 440-5406
Arizona | |446 Fort Tuthill Loop |Flagstaff |928-679-7300
Arizona |FastMED Urgent Care |"495 N Pinal Pkwy, Suite 106" |Florence |520-868-0573
Arizona |CVS Health COVID-19 Testing Site |4744 South Highway 95 |Fort Mohave |N/A
Arizona |Carespot |"2487 South Gilbert Road, Suite 108" |Gilbert |480-485-4789
Arizona |NextCare Urgent Care |6343 South Higley Road |Gilbert |480-748-2712
Arizona |Cigna Medical Center |"3530 S. Val Vista Dr., #101" |Gilbert |480.722.2340
Arizona |CVS Health COVID-19 Testing Site |2371 East Guadalupe Street |Gilbert |N/A
Arizona |CVS Health COVID-19 Testing Site |2428 South Val Vista Drive |Gilbert |N/A
Arizona |CVS Health COVID-19 Testing Site |3170 South Higley Road |Gilbert |N/A
Arizona |CVS Health COVID-19 Testing Site |765 South Lindsay Road |Gilbert |N/A
Arizona |NextCare Urgent Care |18589 N 59th Ave |Glendale |602-547-2600
Arizona |Cigna Medical Center |5891 W. Eugie Ave. |Glendale |602.588.6600
Arizona |FastMED Urgent Care |"3730 W Happy Valley Rd, Suite 100" |Glendale |623-277-4140
Arizona |Redirect Health Centers Clinic |16390 N 59th Ave #200 |Glendale |623-334-4000
Arizona |NextCare Urgent Care |9494 W Northern Ave #101 |Glendale |623-872-2226
Arizona |CVS Health COVID-19 Testing Site |5125 West Olive Avenue |Glendale |N/A
Arizona |CVS Health COVID-19 Testing Site |7499 West Bethany Home Road |Glendale |N/A
Arizona |FastMED Urgent Care |"1507 N Litchfield Rd, Suite 200" |Goodyear |623-215-0040
Arizona |Cigna Medical Center |"14445 W. McDowell Rd., #A-104" |Goodyear |623.536.3720
Arizona |CVS Health COVID-19 Testing Site |2840 North Dysart Road |Goodyear |N/A
Arizona |CVS Health COVID-19 Testing Site |3501 Stockton Hill Road |Kingman |N/A
Arizona |CVS Health COVID-19 Testing Site |75 North Lake Havasu Avenue |Lake Havasu City |N/A
Arizona |Carespot |5130 W Baseline Road |Laveen |602-833-1143
Arizona |CVS Health COVID-19 Testing Site |5050 West Baseline Road |Laveen |N/A
Arizona |Carespot |"13840 West Camelback Road, Suite 10" |Litchfield Park |928-723-4828
Arizona |CVS Health COVID-19 Testing Site |4890 North Litchfield Road |Litchfield Park |N/A
Arizona |FastMED Urgent Care |"7850 N Silverbell Rd, Suite 132" |Marana |520-407-5884
Arizona |CVS Health COVID-19 Testing Site |44274 West-Smith Enke Rd. |Maricopa |N/A
Arizona |FastMED Urgent Care |"1810 S Power Rd, Suite 101" |Mesa |480-214-0045
Arizona |Maready Medical |4135 S. Power Rd. #113 |Mesa |480-626-2444
Arizona |FastMED Urgent Care |"415 N Val Vista Dr, Suite 101" |Mesa |480-654-5661
Arizona |FastMED Urgent Care |835 W University Dr |Mesa |480-664-6007
Arizona |NextCare Urgent Care |1066 N Power Rd. #101 |Mesa |480-807-0130
Arizona |Cigna Medical Center |"1840 S. Stapley Dr., #101" |Mesa |480.464.8500
Arizona |Cigna Medical Center |6811 E. Superstition Springs Blvd. |Mesa |480.641.4000
Arizona |Cigna Medical Center |"5735 E. McKellips Rd., #101" |Mesa |480.718.6444
Arizona |CVS Health COVID-19 Testing Site |2809 South Sossaman Road |Mesa |N/A
Arizona |CVS Health COVID-19 Testing Site |9152 East Brown Road |Mesa |N/A
Arizona |CVS Health COVID-19 Testing Site |360 North Val Vista |Mesa |N/A
Arizona |Banner Desert Medical Center |1400 S Dobson Rd |Mesa |N/A
Arizona |CVS Health COVID-19 Testing Site |1151 East McKellips Road |Mesa |N/A
Arizona |CVS Health COVID-19 Testing Site |5954 East McDowell Road |Mesa |N/A
Arizona |CVS Health COVID-19 Testing Site |6015 East Brown Road |Mesa |N/A
Arizona |CVS Health COVID-19 Testing Site |7547 East Southern Avenue |Mesa |N/A
Arizona |CVS Health COVID-19 Testing Site |9230 E. Broadway Road |Mesa |N/A
Arizona |NextCare Urgent Care |298 W Mariposa Rd |Nogales |(520) 394-7388
Arizona |Southern Arizona Urgent Care Plus |1880 E. Tangerine Rd. Suite 100 |Oro Valley |(520) 900-7006
Arizona |Southern Arizona Urgent Care Plus |7725 N. Oracle Rd. Suite 131 |Oro Valley |(520) 544-2273
Arizona |CVS Health COVID-19 Testing Site |10650 North Oracle Road |Oro Valley |N/A
Arizona |Carespot |24874 N 67th Ave |Peoria |602-313-1561
Arizona |Carespot |"21471 N Lake Pleasant Parkway, Suite 1710" |Peoria |623-300-1421
Arizona |Cigna Medical Center |"21731 N. 77th Ave., #1300" |Peoria |623.561.3300
Arizona |CVS Health COVID-19 Testing Site |8332 West Thunderbird Road |Peoria |N/A
Arizona |CVS Health COVID-19 Testing Site |9856 West Peoria Avenue |Peoria |N/A
Arizona |CVS Health COVID-19 Testing Site |9069 West Lake Pleasant Parkway |Peoria |N/A
Arizona |CVS Health COVID-19 Testing Site |7530 West Cactus Road |Peoria |N/A
Arizona |CVS Health COVID-19 Testing Site |North Lake Pleasant Parkway |Peoria |N/A
Arizona |CVS Health COVID-19 Testing Site |10727 West Olive Avenue |Peoria |N/A
Arizona |CVS Health COVID-19 Testing Site |9172 West Union Hills Drive |Peoria |N/A
Arizona |FastMED Urgent Care |"2860 W Peoria Ave, Suite B" |Phoenix |602-283-0595
Arizona |FastMED Urgent Care |"3131 E Thunderbird Rd, Suite A" |Phoenix |602-283-3609
Arizona |FastMED Urgent Care |"401 E Bell Rd, Suite 18" |Phoenix |602-368-1403
Arizona |HonorHealth Medical Group Urgent Care - Saguaro |18404 N Tatum Blvd Ste 101C |Phoenix |602-485-7475
Arizona |Family Tree Healthcare |7002 S Central Avenue |Phoenix |602-499-4221
Arizona |HonorHealth Medical Group Urgent Care - Bethany Home |1515 E Bethany Home Rd Ste 120B |Phoenix |602-674-6260
Arizona |FastMED Urgent Care |"5201 N 19th Ave, Suite 100" |Phoenix |602-795-1411
Arizona |FastMED Urgent Care |2301 N 44th St |Phoenix |602-808-8786
Arizona |NextCare Urgent Care |1701 E Thomas Rd. |Phoenix |602-845-4445
Arizona |Cigna Medical Center |7236 S. Central Ave. |Phoenix |602.276.5565
Arizona |Cigna Medical Center |3003 N. 3rd St. |Phoenix |602.282.9800
Arizona |Cigna Medical Center |"3805 E. Bell Rd., #2100" |Phoenix |602.404.5200
Arizona |Cigna Medical Center |"7000 N. 16th St., #130" |Phoenix |602.567.1901
Arizona |Cigna Medical Center |710 W. Bell Rd. |Phoenix |602.588.3800
Arizona |NextCare Urgent Care |5920 W McDowell Rd |Phoenix |623-245-0440
Arizona |FastMED Urgent Care |"8260 W Indian School Rd, Suite 1" |Phoenix |623-846-7122
Arizona |FastMED Urgent Care |"5259 W Indian School Rd, Suite 100" |Phoenix |623-888-5101
Arizona |Cigna Medical Center |2302 N. 75th Ave. |Phoenix |623.849.7500
Arizona |Banner Health |"Multiple locations, call for details" |Phoenix |844-549-1851
Arizona |CVS Health COVID-19 Testing Site |2406 East Thomas Road |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |28635 North Valley Parkway |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |3210 East Union Hills |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |3610 West Anthem Way |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |6650 West Lower Buckeye Road |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |4657 East Chandler Boulevard |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |3975 East Thunderbird Road |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |711 E Indian School Rd. |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |7550 South 19th Avenue |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |4040 North 19th Avenue |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |1615 East Baseline |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |10707 West Camelback Road |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |1625 North 44th Street |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |1850 West Dunlap Avenue |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |1855 West Thunderbird Road |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |3560 West Peoria Avenue |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |4323 East Bell Road |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |4430 East Ray Road |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |6021 South Central Avenue |Phoenix |N/A
Arizona |Walgreens |705 E MCDOWELL RD |PHOENIX |N/A
Arizona |Walgreens |2650 W Glendale Ave |Phoenix |N/A
Arizona |CVS Health COVID-19 Testing Site |1525 North Central Avenue |Phoenix |N/A
Arizona |Thumb Butte |3124 Willow Creek Rd. |Prescott |928.445.7085
Arizona |CVS Health COVID-19 Testing Site |901 Willow Lake Road |Prescott |N/A
Arizona |Thumb Butte |6496 E. HWY 69 |Prescott Valley |928.775.9007
Arizona |CVS Health COVID-19 Testing Site |3025 North Windsong Drive |Prescott Valley |N/A
Arizona |CVS Health COVID-19 Testing Site |7587 South Power Road |Queen Creek |N/A
Arizona |Bio Clinic |"1453 N Main Street, Ste. 3" |San Luis |928-315-6801
Arizona |Cigna Medical Center |"36305 N. Gantzel Rd., #102" |San Tan Valley |480.987.6900
Arizona |NextCare Urgent Care |2122 N Scottsdale Rd |Scottsdale |(480) 889-3570
Arizona |FastMED Urgent Care |"4902 E Shea Blvd, Suite 101" |Scottsdale |480-214-4468
Arizona |Carespot |"23015 N Scottsdale Road, Suite 101" |Scottsdale |480-485-2203
Arizona |FastMED Urgent Care |"7730 E Mcdowell Rd, Suite 101" |Scottsdale |480-699-3314
Arizona |Cigna Medical Center |"10900 N. Scottsdale Rd., #606" |Scottsdale |480.368.2500
Arizona |Cigna Medical Center |"7287 E. Earll Dr., Bldg. D" |Scottsdale |480.840.0800
Arizona |CVS Health COVID-19 Testing Site |7111 East Bell Road |Scottsdale |N/A
Arizona |CVS Health COVID-19 Testing Site |7552 Indian School Road |Scottsdale |N/A
Arizona |CVS Health COVID-19 Testing Site |32331 North Scottsdale Road |Scottsdale |N/A
Arizona |CVS Health COVID-19 Testing Site |23215 North Pima Road |Scottsdale |N/A
Arizona |CVS Health COVID-19 Testing Site |10010 North Scottsdale Road |Scottsdale |N/A
Arizona |CVS Health COVID-19 Testing Site |10160 East Bell Road |Scottsdale |N/A
Arizona |CVS Health COVID-19 Testing Site |14672 North Frank Lloyd Wright |Scottsdale |N/A
Arizona |CVS Health COVID-19 Testing Site |20 Airport Road |Sedona |N/A
Arizona |Summer Healthcare Hospital |2200 E Show Low Lake Rd |Show Low |(855) 768-4968
Arizona |Summer Healthcare Outpatient Pavilion |4951 S. White Mountain Rd |Show Low |928.537.6700
Arizona |CVS Health COVID-19 Testing Site |60 E. Deuce of Clubs Drive |Show Low |N/A
Arizona |Cigna Medical Center |9069 W. Thunderbird Rd. |Sun City |623.977.7201
Arizona |CVS Health COVID-19 Testing Site |9901B West Thunderbird Boulevard |Sun City |N/A
Arizona |CVS Health COVID-19 Testing Site |19602 R H Johnson Boulevard |Sun City West |N/A
Arizona |CVS Health COVID-19 Testing Site |9546 East Riggs Road |Sun Lakes |N/A
Arizona |FastMED Urgent Care |"12775 W Bell Rd, Suite 100" |Surprise |623-215-0082
Arizona |Carespot |"16840 W Waddell Road, Suite 110" |Surprise |623-300-1566
Arizona |Cigna Medical Center |"13991 W. Grand Ave., #105" |Surprise |623.455.7800
Arizona |CVS Health COVID-19 Testing Site |15474 West Greenway Road |Surprise |N/A
Arizona |CVS Health COVID-19 Testing Site |15300 North Cotton Lane |Surprise |N/A
Arizona |FastMED Urgent Care |"3244 S Mill Ave, Suite 101" |Tempe |480-214-0621
Arizona |FastMED Urgent Care |"725 South Rural Road, Suite 120" |Tempe |480-214-0622
Arizona |FastMED Urgent Care |1804 W Elliot Rd |Tempe |480-456-0444
Arizona |Cigna Medical Center |1920 E. Baseline Rd. |Tempe |480.345.5000
Arizona |FastMED Urgent Care |"2720 W Baseline Rd, Suite 140" |Tempe |602-777-6000
Arizona |CVS Health COVID-19 Testing Site |1424 West Baseline Road |Tempe |N/A
Arizona |CVS Health COVID-19 Testing Site |855 East Elliot Road |Tempe |N/A
Arizona |CVS Health COVID-19 Testing Site |1750 East Broadway Road |Tempe |N/A
Arizona |CVS Health COVID-19 Testing Site |3303 South Rural Street |Tempe |N/A
Arizona |Diablo Stadium |2200 W. Alameda Dr. |Tempe |N/A
Arizona |FastMED Urgent Care |"9870 W Lower Buckeye Rd, Suite 170" |Tolleson |623-215-0189
Arizona |Southern Arizona Urgent Care Plus |446 N Campbell Ave. Suite 130 |Tucson |(520) 305-3900
Arizona |Southern Arizona Urgent Care Plus |1218 W. Irvington Rd. Suite 150 |Tucson |(520) 829-6442
Arizona |Tucson ER & Hospital |4575 E Broadway Blvd |Tucson |520.375.9111
Arizona |Southern Arizona Urgent Care Plus |6572 East Grant Road Suite 130 |Tucson |(520) 300-4249
Arizona |Urgent Specialists |"2120 W. Ina Road, Suite 100" |Tucson |(520) 395-0471
Arizona |El Rio Health |"101 W. Irvington Road, Building 10" |Tucson |(520) 670-3909
Arizona |El Rio Health |1230 S. Cherrybell Stravenue |Tucson |(520) 670-3909
Arizona |El Rio Health |"1500 W. Commerce Court, Bldg. 1" |Tucson |(520) 670-3909
Arizona |El Rio Health |320 W. Prince Rd. / 340 W. Prince Rd. |Tucson |(520) 670-3909
Arizona |El Rio Health |6950 E. Golf Links |Tucson |(520) 670-3909
Arizona |El Rio Health |839 W. Congress St. |Tucson |(520) 670-3909
Arizona |Southern Arizona Urgent Care Plus |1040 S. Harrison Road Suite 120 |Tucson |(520) 777-7025
Arizona |Southern Arizona Urgent Care Plus |6303 E. Broadway Blvd. Suite 161 |Tucson |(520) 838-0020
Arizona |El Rio Health |7490 S. Camino De Oeste |Tucson |(520) 879-6225
Arizona |Southern Arizona Urgent Care Plus |90 W. River Rd. |Tucson |(520) 912-4200
Arizona |Southern Arizona Urgent Care Plus |3662 W. Ina Rd. Suite 150 |Tucson |(520) 912-4242
